Linux 5.14.0-427.42.1.el9_4.x86_64 (owlmln004) 	05/16/2025 	_x86_64_	(128 CPU)

10:59:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:59:59 AM  111    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  112    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  113    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  114    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  115    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  116    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  117    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  118    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  119    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  120    0.50    0.00    1.99    0.00    0.50    0.00    0.00    0.00    0.00   97.01
10:59:59 AM  121    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  122    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  123    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  124    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  125    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  126    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:59 AM  127    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:59:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:01 AM  all    0.46    0.00    0.40    0.04    0.05    0.07    0.00    0.00    0.00   98.99
11:00:01 AM    0   20.71    0.00   10.61    4.04    1.01    0.51    0.00    0.00    0.00   63.13
11:00:01 AM    1    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
11:00:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
11:00:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM    6    0.00    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   99.00
11:00:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM    9    0.00    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   99.01
11:00:01 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   12    2.51    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.98
11:00:01 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   14    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:01 AM   15    0.00    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   99.00
11:00:01 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   17    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
11:00:01 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   19    2.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.98
11:00:01 AM   20    0.00    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   99.00
11:00:01 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   23    0.50    0.00    1.98    0.00    0.50    0.00    0.00    0.00    0.00   97.03
11:00:01 AM   24    0.50    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.00
11:00:01 AM   25    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:01 AM   26    1.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.50
11:00:01 AM   27    1.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.51
11:00:01 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   34    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
11:00:01 AM   35    3.02    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.48
11:00:01 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   39    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
11:00:01 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   41    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
11:00:01 AM   42    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:01 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   44    0.50    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.00
11:00:01 AM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:01 AM   46    2.00    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   96.50
11:00:01 AM   47    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
11:00:01 AM   48    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
11:00:01 AM   49    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.99
